package	installed_version	architecture	status	installed_files_summary	source_repository	local_source_path	current_checkout_commit	current_checkout_description	current_checkout_dirty	found_deb	found_deb_path	found_deb_package	found_deb_version	found_deb_architecture	found_deb_sha256	verified_build_source_commit	build_command	build_command_confidence	notes
about-this-pi-forma	0.1.0	arm64	ii	/usr; /usr/bin; /usr/bin/about-piforma; /usr/share; /usr/share/applications; /usr/share/applications/About This PiForma.desktop; /usr/share/icons; /usr/share/icons/hicolor; ... 11 files total	origin https://github.com/milagrofrost/about-this-pi.git (fetch) | origin https://github.com/milagrofrost/about-this-pi.git (push)	/home/frost/about-my-piforma/about-piforma-tauri	1cc5bf50a4f6b3ca3010adb2b6c6edbe5a96c8e4	1cc5bf5	no	yes	/home/frost/about-my-piforma/about-piforma-tauri/src-tauri/target/release/bundle/deb/About This PiForma_0.1.0_arm64.deb	about-this-pi-forma	0.1.0	arm64	fac98888e14420752a2e465bc632bce713224fbdf1c446cf293a93bb0321f038		npm run tauri -- build	likely	found deb compared to installed paths: 2 regular files checked, 1 mismatches, 1 missing; exact installed-byte identity not proven
at-ease	0.1.0	arm64	ii	/usr; /usr/bin; /usr/bin/atease; /usr/lib; /usr/lib/AtEase; /usr/lib/AtEase/sounds; /usr/lib/AtEase/sounds/click.wav; /usr/share; ... 15 files total	origin https://github.com/milagrofrost/AtEase-simulator.git (fetch) | origin https://github.com/milagrofrost/AtEase-simulator.git (push)	/home/frost/atEase	09f15ab6d6492b00adffbda260901480174f6dde	09f15ab	no	yes	/home/frost/atEase/src-tauri/target/release/bundle/deb/AtEase_0.1.0_arm64.deb	at-ease	0.1.0	arm64	729162041f0f49e5edb5d5e72e263b2533dde23066bc0f73023f05d60f72af10		npm run tauri -- build	likely	found deb regular files match installed paths (4 compared); installed package identity still not proven by dpkg database
clippy	0.4.3	arm64	ii	/.; /usr; /usr/bin; /usr/lib; /usr/lib/clippy; /usr/lib/clippy/Clippy; /usr/lib/clippy/LICENSES.chromium.html; /usr/lib/clippy/chrome-sandbox; ... 629 files total	origin https://github.com/milagrofrost/clippy-rpi (fetch) | origin https://github.com/milagrofrost/clippy-rpi (push)	/home/frost/clippy-rpi	b462727cf16f0d781131b8da5782ae0eff1a6a33	b462727	no	yes	/home/frost/clippy-rpi/out/make/deb/arm64/clippy_0.4.3_arm64.deb	clippy	0.4.3	arm64	5ac1eeda60bb411d76b85a20f92b93bdbe7e68e28ad51a330912a47517255476		npm run make	likely	found deb regular files match installed paths (507 compared); installed package identity still not proven by dpkg database
control-strip-simulator	0.1.0	arm64	ii	/usr; /usr/bin; /usr/bin/controlstrip-simulator; /usr/share; /usr/share/applications; /usr/share/applications/ControlStrip Simulator.desktop	origin https://github.com/milagrofrost/ControlStrip-Simulator (fetch) | origin https://github.com/milagrofrost/ControlStrip-Simulator (push)	/home/frost/controlstrip-simualtor	dfaea0b1a5888c814458b9196c1ab303da801342	phase2/05-ci-quality-8-gdfaea0b	no	yes	/home/frost/controlstrip-simualtor/src-tauri/target/release/bundle/deb/ControlStrip Simulator_0.1.0_arm64.deb	control-strip-simulator	0.1.0	arm64	29a43371a03b4375fac56a3b213c57874c12eb83aae12ff9f73641e24bf8f1ff		npm run tauri -- build	likely	found deb regular files match installed paths (2 compared); installed package identity still not proven by dpkg database
pi-forma-panel	0.1.0	arm64	ii	/usr; /usr/bin; /usr/bin/piforma-panel; /usr/share; /usr/share/applications; /usr/share/applications/PiForma Panel.desktop; /usr/share/icons; /usr/share/icons/hicolor; ... 11 files total	origin https://github.com/milagrofrost/piforma-panel.git (fetch) | origin https://github.com/milagrofrost/piforma-panel.git (push)	/home/frost/piforma-panel	277a6cf61d25020786da40fdd1a3154f31f81a71	277a6cf-dirty	yes	yes	/home/frost/piforma-panel/src-tauri/target/release/bundle/deb/PiForma Panel_0.1.0_arm64.deb	pi-forma-panel	0.1.0	arm64	51205c1a44ab410efdf24834a97f8144172fe19af02518bd366cd9139efecf65		npm run tauri -- build	likely	found deb regular files match installed paths (3 compared); installed package identity still not proven by dpkg database
